date,region,product,stock_level,warehouse_capacity
2023-01-01,LATAM,A,11230,12795
2023-01-01,LATAM,B,15274,14600
2023-01-01,LATAM,C,2168,11939
2023-01-01,NA,A,2500,13455
2023-01-01,NA,B,3583,11796
2023-01-01,NA,C,318,8461
2023-01-01,EU,A,11387,11922
2023-01-01,EU,B,-447,12031
2023-01-01,EU,C,4017,13016
2023-01-01,APAC,A,7394,8362
2023-01-01,APAC,B,6216,12146
2023-01-01,APAC,C,7403,9130
2023-01-02,LATAM,A,9401,14413
2023-01-02,LATAM,B,4509,13224
2023-01-02,LATAM,C,16590,14653
2023-01-02,NA,A,5228,9488
2023-01-02,NA,B,3998,12307
2023-01-02,NA,C,2044,14575
2023-01-02,EU,A,7578,8434
2023-01-02,EU,B,1849,11339
2023-01-02,EU,C,4632,11808
2023-01-02,APAC,A,-298,10238
2023-01-02,APAC,B,5618,14222
2023-01-02,APAC,C,2897,10436
2023-01-03,LATAM,A,3461,8570
2023-01-03,LATAM,B,10927,12398
2023-01-03,LATAM,C,8830,8192
2023-01-03,NA,A,2387,14403
2023-01-03,NA,B,133,8329
2023-01-03,NA,C,4815,10317
2023-01-03,EU,A,5700,12926
2023-01-03,EU,B,6774,8299
2023-01-03,EU,C,5489,10720
2023-01-03,APAC,A,9976,8245
2023-01-03,APAC,B,5762,14880
2023-01-03,APAC,C,3768,9479
2023-01-04,LATAM,A,2975,8307
2023-01-04,LATAM,B,1240,10256
2023-01-04,LATAM,C,8697,14859
2023-01-04,NA,A,8399,9857
2023-01-04,NA,B,106,8130
2023-01-04,NA,C,-380,10082
2023-01-04,EU,A,1602,10176
2023-01-04,EU,B,2668,14730
2023-01-04,EU,C,5094,11907
2023-01-04,APAC,A,8097,12803
2023-01-04,APAC,B,12148,12495
2023-01-04,APAC,C,8936,13651
2023-01-05,LATAM,A,885,13176
2023-01-05,LATAM,B,8392,8694
2023-01-05,LATAM,C,2099,8133
2023-01-05,NA,A,2987,13697
2023-01-05,NA,B,4151,9395
2023-01-05,NA,C,5334,11554
2023-01-05,EU,A,15433,13860
2023-01-05,EU,B,-400,13421
2023-01-05,EU,C,2744,11013
2023-01-05,APAC,A,411,10667
2023-01-05,APAC,B,597,9338
2023-01-05,APAC,C,9699,11319
2023-01-06,LATAM,A,7626,9019
2023-01-06,LATAM,B,7518,8607
2023-01-06,LATAM,C,538,8860
2023-01-06,NA,A,10253,8914
2023-01-06,NA,B,3242,14332
2023-01-06,NA,C,10937,11458
2023-01-06,EU,A,4574,8732
2023-01-06,EU,B,5666,8989
2023-01-06,EU,C,6950,10518
2023-01-06,APAC,A,1565,11673
2023-01-06,APAC,B,120,13244
2023-01-06,APAC,C,302,14470
2023-01-07,LATAM,A,10457,12224
2023-01-07,LATAM,B,9422,12437
2023-01-07,LATAM,C,11468,11567
2023-01-07,NA,A,6097,10363
2023-01-07,NA,B,1585,9779
2023-01-07,NA,C,441,9936
2023-01-07,EU,A,6575,11350
2023-01-07,EU,B,5976,9870
2023-01-07,EU,C,1346,9839
2023-01-07,APAC,A,2120,13208
2023-01-07,APAC,B,4345,8780
2023-01-07,APAC,C,10497,10345
2023-01-08,LATAM,A,10609,10075
2023-01-08,LATAM,B,9952,12245
2023-01-08,LATAM,C,5214,12028
2023-01-08,NA,A,9978,14194
2023-01-08,NA,B,14262,12942
2023-01-08,NA,C,8448,14098
2023-01-08,EU,A,5957,14609
2023-01-08,EU,B,6732,11239
2023-01-08,EU,C,7960,11132
2023-01-08,APAC,A,2018,12685
2023-01-08,APAC,B,2525,12367
2023-01-08,APAC,C,15242,14706
2023-01-09,LATAM,A,12685,14290
