order_id,region,product,order_date,requested_delivery_date,actual_delivery_date,quantity
1,LATAM,A,2023-01-01,2023-01-06,2023-01-09,1037
2,LATAM,C,2023-01-01,2023-01-06,2023-01-03,845
3,NA,A,2023-01-01,2023-01-06,2023-01-13,1956
4,NA,B,2023-01-01,2023-01-06,2023-01-16,1849
5,NA,C,2023-01-01,2023-01-06,2023-01-13,790
6,EU,A,2023-01-01,2023-01-06,2023-01-06,1719
7,EU,B,2023-01-01,2023-01-06,2023-01-13,2451
8,EU,C,2023-01-01,2023-01-06,2023-01-13,1972
9,APAC,A,2023-01-01,2023-01-06,2023-01-09,1431
10,APAC,B,2023-01-01,2023-01-06,2023-01-07,1287
11,APAC,C,2023-01-01,2023-01-06,2023-01-09,2419
12,LATAM,A,2023-01-02,2023-01-07,2023-01-07,2751
13,LATAM,B,2023-01-02,2023-01-07,2023-01-14,893
14,NA,A,2023-01-02,2023-01-07,2023-01-07,2340
15,NA,B,2023-01-02,2023-01-07,2023-01-10,1473
16,NA,C,2023-01-02,2023-01-07,2023-01-17,1066
17,EU,A,2023-01-02,2023-01-07,2023-01-14,2526
18,EU,B,2023-01-02,2023-01-07,2023-01-09,2830
19,EU,C,2023-01-02,2023-01-07,2023-01-14,943
20,APAC,C,2023-01-02,2023-01-07,2023-01-07,1962
21,LATAM,C,2023-01-03,2023-01-08,2023-01-08,733
22,NA,A,2023-01-03,2023-01-08,,2348
23,NA,B,2023-01-03,2023-01-08,2023-01-10,1432
24,NA,C,2023-01-03,2023-01-08,2023-01-08,1350
25,EU,B,2023-01-03,2023-01-08,2023-01-15,661
26,EU,C,2023-01-03,2023-01-08,2023-01-10,790
27,APAC,B,2023-01-03,2023-01-08,2023-01-08,1811
28,APAC,C,2023-01-03,2023-01-08,2023-01-10,2505
29,LATAM,A,2023-01-04,2023-01-09,2023-01-12,2546
30,LATAM,B,2023-01-04,2023-01-09,2023-01-11,2976
31,LATAM,C,2023-01-04,2023-01-09,2023-01-16,2164
32,NA,A,2023-01-04,2023-01-09,2023-01-12,2988
33,NA,B,2023-01-04,2023-01-09,2023-01-09,511
34,NA,C,2023-01-04,2023-01-09,2023-01-11,2597
35,EU,C,2023-01-04,2023-01-09,2023-01-19,1059
36,APAC,A,2023-01-04,2023-01-09,2023-01-11,1591
37,APAC,B,2023-01-04,2023-01-09,2023-01-12,730
38,APAC,C,2023-01-04,2023-01-09,2023-01-10,2975
39,LATAM,A,2023-01-05,2023-01-10,2023-01-11,1020
40,LATAM,C,2023-01-05,2023-01-10,2023-01-17,760
41,NA,A,2023-01-05,2023-01-10,2023-01-07,2470
42,NA,B,2023-01-05,2023-01-10,2023-01-20,2169
43,NA,C,2023-01-05,2023-01-10,2023-01-12,738
44,EU,B,2023-01-05,2023-01-10,2023-01-17,2987
45,EU,C,2023-01-05,2023-01-10,,1195
46,APAC,B,2023-01-05,2023-01-10,2023-01-17,1314
47,APAC,C,2023-01-05,2023-01-10,2023-01-20,1396
48,LATAM,A,2023-01-06,2023-01-11,2023-01-21,2289
49,LATAM,C,2023-01-06,2023-01-11,2023-01-12,2775
50,NA,A,2023-01-06,2023-01-11,2023-01-12,2310
51,NA,B,2023-01-06,2023-01-11,2023-01-12,1409
52,NA,C,2023-01-06,2023-01-11,2023-01-12,1230
53,EU,A,2023-01-06,2023-01-11,2023-01-14,1469
54,EU,C,2023-01-06,2023-01-11,2023-01-11,1907
55,APAC,B,2023-01-06,2023-01-11,2023-01-18,1437
56,LATAM,A,2023-01-07,2023-01-12,2023-01-19,924
57,LATAM,B,2023-01-07,2023-01-12,2023-01-19,2713
58,LATAM,C,2023-01-07,2023-01-12,2023-01-15,843
59,NA,B,2023-01-07,2023-01-12,2023-01-14,2326
60,NA,C,2023-01-07,2023-01-12,2023-01-12,2683
61,EU,C,2023-01-07,2023-01-12,2023-01-19,1125
62,APAC,A,2023-01-07,2023-01-12,2023-01-14,2085
