date,plant,region,product,produced_quantity,production_capacity
2023-01-01,P_LATAM,LATAM,A,1997,3989
2023-01-01,P_LATAM,LATAM,B,2735,2508
2023-01-01,P_LATAM,LATAM,C,3312,2925
2023-01-01,P_NA,NA,A,2179,1956
2023-01-01,P_NA,NA,B,1935,2090
2023-01-01,P_NA,NA,C,1946,3592
2023-01-01,P_EU,EU,A,957,2138
2023-01-01,P_EU,EU,B,890,2922
2023-01-01,P_EU,EU,C,1411,2336
2023-01-01,P_APAC,APAC,A,1647,3310
2023-01-01,P_APAC,APAC,B,3263,3444
2023-01-01,P_APAC,APAC,C,2122,3894
2023-01-02,P_LATAM,LATAM,A,2244,2501
2023-01-02,P_LATAM,LATAM,B,2881,3636
2023-01-02,P_LATAM,LATAM,C,1450,3298
2023-01-02,P_NA,NA,A,2515,2261
2023-01-02,P_NA,NA,B,4233,3862
2023-01-02,P_NA,NA,C,874,2691
2023-01-02,P_EU,EU,A,1574,3907
2023-01-02,P_EU,EU,B,945,2920
2023-01-02,P_EU,EU,C,921,1673
2023-01-02,P_APAC,APAC,A,1991,2413
2023-01-02,P_APAC,APAC,B,730,1961
2023-01-02,P_APAC,APAC,C,1806,3441
2023-01-03,P_LATAM,LATAM,A,808,2563
2023-01-03,P_LATAM,LATAM,B,567,1520
2023-01-03,P_LATAM,LATAM,C,2245,3899
2023-01-03,P_NA,NA,A,1554,2012
2023-01-03,P_NA,NA,B,1759,3009
2023-01-03,P_NA,NA,C,1650,3113
2023-01-03,P_EU,EU,A,3424,3192
2023-01-03,P_EU,EU,B,3730,3699
2023-01-03,P_EU,EU,C,1449,3014
2023-01-03,P_APAC,APAC,A,3095,3712
2023-01-03,P_APAC,APAC,B,529,1707
2023-01-03,P_APAC,APAC,C,3581,3666
2023-01-04,P_LATAM,LATAM,A,1499,2784
2023-01-04,P_LATAM,LATAM,B,1359,2102
2023-01-04,P_LATAM,LATAM,C,3460,3212
2023-01-04,P_NA,NA,A,1943,2475
2023-01-04,P_NA,NA,B,3334,3895
2023-01-04,P_NA,NA,C,1912,1672
2023-01-04,P_EU,EU,A,1785,3825
2023-01-04,P_EU,EU,B,3866,3463
2023-01-04,P_EU,EU,C,585,1658
2023-01-04,P_APAC,APAC,A,1436,3616
2023-01-04,P_APAC,APAC,B,4475,3973
2023-01-04,P_APAC,APAC,C,1535,2550
2023-01-05,P_LATAM,LATAM,A,1578,2867
2023-01-05,P_LATAM,LATAM,B,1436,2789
2023-01-05,P_LATAM,LATAM,C,2487,3590
2023-01-05,P_NA,NA,A,3574,3097
2023-01-05,P_NA,NA,B,2471,2291
